Date,Q1,Q2,Q3,Q4,Q5
February 25 2015,SJM EL SYY K,PEP MNST TSN WMT,PG KR KMB TAP,GIS HRL HSY MDLZ,MKC KHC PM WBA
March 25 2015,SJM EL K HRL,SYY TSN PEP WMT,KR KMB MNST TAP,PG GIS HSY MDLZ,MKC KHC PM WBA
April 22 2015,SJM EL K HRL,SYY TSN PEP WMT,PG MNST MDLZ TAP,GIS KMB KR HSY,MKC KHC PM WBA
May 20 2015,SJM HRL SYY MDLZ,K TAP PEP TSN,HSY PG KR WMT,MNST KMB GIS PM,MKC EL KHC WBA
June 17 2015,SJM MDLZ SYY TAP,K TSN PEP WMT,HSY MNST PG KR,KMB GIS PM HRL,MKC EL KHC WBA
July 15 2015,MDLZ SYY TAP TSN,KR K PEP WMT,HSY PG MKC SJM,MNST GIS PM HRL,KMB EL KHC WBA
August 12 2015,MNST K SYY MDLZ,TSN TAP WMT PG,KR HSY MKC PEP,SJM GIS HRL PM,KMB EL KHC WBA
September 09 2015,SJM MNST K MDLZ,TSN TAP HRL PG,KR HSY PEP WMT,MKC SYY EL GIS,KMB PM KHC WBA
October 07 2015,SJM MNST K MDLZ,TSN PEP TAP PG,KR HSY HRL WMT,SYY MKC GIS EL,KMB PM KHC WBA
November 04 2015,SJM MNST K MDLZ,SYY TSN PEP TAP,HSY KR HRL WMT,PG EL MKC GIS,PM KHC KMB WBA
December 02 2015,SJM MNST K MDLZ,SYY PEP TAP WMT,HSY KR EL HRL,PG MKC GIS PM,KMB KHC TSN WBA
December 30 2015,MNST K MDLZ PEP,HSY SYY TAP WMT,EL PG KR MKC,HRL GIS KMB PM,SJM KHC TSN WBA
January 27 2016,WBA MNST K MDLZ,SYY PEP TAP WMT,EL HSY PG MKC,KR GIS HRL PM,SJM KMB KHC TSN
February 24 2016,EL WBA MNST TAP,PEP K HSY WMT,SYY KR PG TSN,HRL GIS KMB MDLZ,SJM MKC KHC PM
March 23 2016,EL WBA SJM HRL,PEP K TAP WMT,SYY PG HSY MNST,KR TSN KMB MDLZ,GIS MKC KHC PM
April 20 2016,EL HRL SJM WBA,K TAP PG PEP,SYY HSY TSN MNST,GIS KMB WMT MDLZ,MKC KR KHC PM
May 18 2016,EL SJM WBA HRL,MNST SYY HSY K,MDLZ PEP TAP PG,GIS MKC TSN WMT,KMB KR KHC PM
June 15 2016,EL SJM WBA HRL,MNST SYY HSY K,MDLZ PEP TAP WMT,PG GIS TSN MKC,KMB KR KHC PM
July 13 2016,EL HRL MNST SYY,K HSY PEP TAP,MDLZ WBA MKC WMT,KR PG TSN SJM,KMB GIS KHC PM
August 10 2016,EL KHC MNST PG,HRL SYY PEP TAP,HSY WBA K MDLZ,MKC KR WMT TSN,SJM GIS KMB PM
September 07 2016,SJM KHC MNST PG,WBA PEP MDLZ TAP,K HSY HRL WMT,KR MKC EL SYY,KMB TSN GIS PM
October 05 2016,SJM KHC MNST PG,WBA PEP MDLZ TAP,K HSY HRL WMT,KR MKC EL SYY,GIS TSN KMB PM
November 02 2016,SJM KHC MNST TAP,K MDLZ PEP WMT,PG MKC HSY HRL,KR WBA EL SYY,TSN GIS KMB PM
November 30 2016,EL SJM MDLZ TAP,MNST K SYY PEP,HSY KHC HRL WMT,PG MKC KR WBA,GIS KMB PM TSN
December 28 2016,EL SJM MDLZ TAP,MNST K PEP WMT,SYY HSY KHC MKC,PG KR HRL WBA,GIS KMB PM TSN
January 25 2017,EL SJM MDLZ TAP,MNST K PEP WMT,KHC SYY HSY MKC,KR PG WBA HRL,GIS KMB PM TSN
February 22 2017,EL HSY SJM TAP,MNST SYY MDLZ WMT,PEP KHC KR PG,WBA HRL TSN K,GIS KMB PM MKC
March 22 2017,SJM EL HSY TAP,PEP SYY HRL WMT,KR PG WBA MNST,TSN KHC MDLZ K,KMB GIS PM MKC
April 19 2017,SJM EL HSY TAP,PEP HRL SYY WMT,PG MNST TSN K,WBA KMB KHC MDLZ,GIS PM KR MKC
May 17 2017,SJM EL K SYY,TSN HRL PEP TAP,HSY PG MDLZ WMT,KHC MNST WBA PM,GIS KMB KR MKC
June 14 2017,SJM EL K SYY,TSN PEP TAP WMT,HSY PG HRL MDLZ,KHC MNST WBA PM,KMB GIS KR MKC
July 12 2017,EL K SYY WBA,TSN HRL TAP WMT,HSY KR MDLZ PEP,KHC PG PM SJM,MNST KMB GIS MKC
August 09 2017,EL SYY WBA TAP,KHC K HRL WMT,KR MDLZ HSY PEP,TSN PM PG SJM,MNST KMB GIS MKC
September 06 2017,K KHC WBA TAP,MNST HRL MDLZ WMT,HSY KR PEP TSN,EL PM PG SYY,SJM KMB GIS MKC
October 04 2017,K MKC WBA TAP,KHC MNST HRL WMT,MDLZ HSY PEP TSN,KR EL PG SYY,SJM KMB PM GIS
November 01 2017,KR MKC HRL PG,SJM EL HSY PM,K KMB MDLZ MNST,KHC PEP TSN WBA,SYY TAP GIS WMT
