Date,Q1,Q2,Q3,Q4,Q5
February 25 2015,SJM EL SYY PEP,K MNST TSN PG,WMT KR GIS HRL,KMB TAP HSY MDLZ,MKC KHC PM WBA
March 25 2015,SJM EL K SYY,HRL TSN PEP PG,WMT KR KMB MNST,TAP GIS HSY MDLZ,MKC KHC PM WBA
April 22 2015,SJM EL K SYY,HRL TSN PEP PG,WMT MNST GIS KMB,MDLZ TAP KR HSY,MKC KHC PM WBA
May 20 2015,SJM HRL HSY MNST,SYY MDLZ K PG,TAP PEP TSN KMB,KR WMT GIS MKC,PM EL KHC WBA
June 17 2015,SJM K HSY MNST,MDLZ SYY TSN PG,TAP PEP WMT KMB,KR GIS PM MKC,HRL EL KHC WBA
July 15 2015,KR K HSY MNST,MDLZ SYY PG MKC,TAP TSN PEP WMT,SJM GIS PM KMB,HRL EL KHC WBA
August 12 2015,MNST TSN KR HSY,K SYY MDLZ MKC,TAP WMT PEP KMB,PG SJM GIS HRL,PM EL KHC WBA
September 09 2015,SJM MNST KR HSY,K MDLZ TSN MKC,TAP HRL PEP SYY,PG WMT EL KMB,GIS PM KHC WBA
October 07 2015,SJM MNST KR HSY,K MDLZ TSN PEP,TAP HRL SYY MKC,PG WMT GIS KMB,EL PM KHC WBA
November 04 2015,SJM MNST HSY PG,SYY TSN KR EL,K MDLZ PEP MKC,TAP HRL WMT GIS,PM KHC KMB WBA
December 02 2015,SJM MNST HSY PG,K SYY KR EL,MDLZ PEP HRL MKC,TAP WMT GIS KMB,PM KHC TSN WBA
December 30 2015,MNST HSY EL PG,K MDLZ PEP SYY,TAP KR MKC HRL,WMT GIS KMB SJM,PM KHC TSN WBA
January 27 2016,WBA MNST EL HSY,K MDLZ SYY PEP,TAP PG MKC KR,WMT GIS HRL SJM,PM KMB KHC TSN
February 24 2016,EL WBA MNST PEP,TAP K HSY SYY,KR PG TSN HRL,WMT GIS KMB SJM,MDLZ MKC KHC PM
March 23 2016,EL WBA SJM PEP,HRL K TAP SYY,WMT PG KR TSN,HSY MNST KMB GIS,MDLZ MKC KHC PM
April 20 2016,EL HRL SJM K,WBA TAP PG SYY,PEP HSY TSN GIS,MNST KMB WMT MKC,MDLZ KR KHC PM
May 18 2016,EL SJM MNST SYY,WBA HRL HSY MDLZ,K PEP TAP PG,GIS MKC TSN KMB,WMT KR KHC PM
June 15 2016,EL SJM MNST SYY,WBA HRL HSY MDLZ,K PEP TAP PG,WMT GIS TSN KMB,MKC KR KHC PM
July 13 2016,EL HRL MNST SYY,K HSY MDLZ WBA,PEP MKC KR PG,TAP WMT TSN KMB,SJM GIS KHC PM
August 10 2016,EL KHC MNST PG,HRL SYY HSY WBA,K MDLZ MKC KR,PEP TAP WMT TSN,SJM GIS KMB PM
September 07 2016,SJM KHC MNST PG,WBA K HSY KR,PEP MDLZ HRL MKC,TAP WMT KMB TSN,EL SYY GIS PM
October 05 2016,SJM KHC MNST PG,WBA K HSY KR,PEP MDLZ HRL MKC,TAP WMT GIS TSN,EL SYY KMB PM
November 02 2016,SJM KHC MNST PG,K MKC HSY KR,TAP MDLZ PEP HRL,WMT WBA TSN GIS,EL SYY KMB PM
November 30 2016,EL SJM MNST PG,K SYY HSY KHC,MDLZ HRL MKC KR,TAP PEP WMT WBA,GIS KMB PM TSN
December 28 2016,EL SJM MNST PG,K SYY HSY KHC,MDLZ PEP MKC KR,TAP WMT HRL WBA,GIS KMB PM TSN
January 25 2017,EL SJM MNST KHC,K SYY HSY KR,MDLZ PEP MKC PG,TAP WMT WBA HRL,GIS KMB PM TSN
February 22 2017,EL HSY SJM PEP,TAP MNST SYY KHC,MDLZ KR PG WBA,WMT HRL TSN GIS,K KMB PM MKC
March 22 2017,SJM EL HSY PEP,TAP SYY KR PG,HRL WMT WBA TSN,MNST KHC KMB GIS,MDLZ K PM MKC
April 19 2017,SJM EL HSY PEP,TAP HRL SYY PG,MNST TSN WBA GIS,WMT KMB KHC PM,K MDLZ KR MKC
May 17 2017,SJM EL K SYY,TSN HSY PG KHC,HRL PEP MDLZ MNST,TAP WBA GIS KMB,WMT PM KR MKC
June 14 2017,SJM EL K SYY,TSN HSY PG KHC,PEP HRL MDLZ MNST,TAP WMT WBA KMB,PM GIS KR MKC
July 12 2017,EL K SYY HSY,WBA TSN KR KHC,HRL MDLZ PG MNST,TAP WMT PEP KMB,PM SJM GIS MKC
August 09 2017,EL SYY KHC K,WBA KR MDLZ HSY,HRL PEP TSN MNST,TAP WMT PM KMB,PG SJM GIS MKC
September 06 2017,K KHC MNST HSY,WBA HRL MDLZ KR,TAP PEP TSN EL,WMT PM SJM KMB,PG SYY GIS MKC
October 04 2017,K MKC KHC MNST,WBA MDLZ HSY KR,HRL PEP TSN EL,TAP WMT SJM KMB,PG SYY PM GIS
November 01 2017,KR MKC SJM EL,HRL HSY K KHC,KMB MDLZ MNST PEP,PG PM SYY TAP,TSN WBA GIS WMT
